"the_geom","Street","TrafDir","SegmentID","RW_TYPE","StreetWidt","Boro","Facility","Direction","Hours","Days","Days_Code","Lane_width","Lane_Type1","Lane_Type","Lane_Descr","Lane_Color","SBS_Route1","SBS_Route2","SBS_Route3","Open_dates","Year1","Year2","Year3","Last_Updat","Chron_ID_1","Shape_Leng","Shape_Le_1","Mid_Block"
"MULTILINESTRING ((-73.96796054798135 40.68372681250015, -73.9668896223823 40.68348273118454))","FULTON STREET","T","0029245","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","310.046436532","MULTILINESTRING ((993136.0940925032 188378.16397592425, 993433.1473041773 188289.34853675961))",
"MULTILINESTRING ((-73.97231249591701 40.685458234338135, -73.97123922109166 40.685027486769016))","FULTON STREET","T","0029080","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","336.500125693","MULTILINESTRING ((991928.8885016739 189008.55969674885, 992226.6034574211 188851.72175583243))",
"MULTILINESTRING ((-73.97231249591701 40.685458234338135, -73.97123922109166 40.685027486769016))","FULTON STREET","T","0029080","1","0","BK","Fulton Street","EB","2PM-7PM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","336.500125693","MULTILINESTRING ((991928.8885016739 189008.55969674885, 992226.6034574211 188851.72175583243))",
"MULTILINESTRING ((-73.97276482719224 40.68564129156275, -73.97231249591701 40.685458234338135))","FULTON STREET","T","0029098","1","0","BK","Fulton Street","EB","2PM-7PM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","142.076253975","MULTILINESTRING ((991803.4176240116 189075.2134348452, 991928.8885016739 189008.55969674885))",
"MULTILINESTRING ((-73.97123922109166 40.685027486769016, -73.97016463066427 40.684591082599844))","FULTON STREET","T","0029176","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","337.789763909","MULTILINESTRING ((992226.6034574211 188851.72175583243, 992524.6878350079 188692.82673242688))",
"MULTILINESTRING ((-73.9658647173868 40.68326722686451, -73.96477852663547 40.683039717827974))","FULTON STREET","T","0029255","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","312.450966006","MULTILINESTRING ((993717.4347933382 188210.94318175316, 994018.7235608399 188128.1743184179))",
"MULTILINESTRING ((-73.97307314902784 40.68576305324776, -73.97276482719224 40.68564129156275))","FULTON STREET","T","0029096","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","96.33223153","MULTILINESTRING ((991717.8938449174 189119.5483199209, 991803.4176240116 189075.2134348452))",
"MULTILINESTRING ((-73.97337475155688 40.68588481525165, -73.97307314902784 40.68576305324776))","FULTON STREET","T","0109300","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","94.681859267","MULTILINESTRING ((991634.2339072526 189163.884189263, 991717.8938449174 189119.5483199209))",
"MULTILINESTRING ((-73.97337475155688 40.68588481525165, -73.97307314902784 40.68576305324776))","FULTON STREET","T","0109300","1","0","BK","Fulton Street","EB","2PM-7PM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","94.681859267","MULTILINESTRING ((991634.2339072526 189163.884189263, 991717.8938449174 189119.5483199209))",
"MULTILINESTRING ((-73.96477852663547 40.683039717827974, -73.96366357791018 40.68280663327991))","FULTON STREET","T","0029354","1","0","BK","Fulton Street","WB","7AM-10AM","Mon - Fri","5","Single","Shared Lane",,,,,,,"06/01/2018","2018","0","0","2/25/2019","BK2018","320.681181134","MULTILINESTRING ((994018.7235608399 188128.1743184179, 994327.9913150072 188043.38118092716))",
